Protocol,Domain,Path,Depth_url,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,http_tokens,httpDomain,Port,label
http,guptaband.com,/.well-known/ibabsa/php/absajslogo.php,4,0,2,0,0,0,2,0,0.0,1,0,1
http,ktassa.work,/inj/hk_com.dbs.hk.dbsmbanking.php,2,0,0,0,0,0,1,0,0.0,1,0,1
https,procseq158019.000webhostapp.com,/Sessi0n_SSi_2555000963/Sessi0n_SSi_2555000963/Sessi0n_SSi_2555000963/2525555_52558x68584854/b0a/,5,0,1,0,0,0,0,0,0.0,0,0,1
http,www.sandakolko.com,/b8043c9d5b615e009fbaf79d820eb46a/login.php,2,0,1,0,0,0,2,0,0.0,1,0,1
https,cxivio.co.vu,/ASB/FASTNET,2,0,0,0,0,0,0,0,0.0,0,0,1
https,cxivio.co.vu,/ASB/FASTNET/,2,0,0,0,0,0,0,0,0.0,0,0,1
https,cxivio.co.vu,/rf,1,0,0,0,0,0,0,0,0.0,0,0,1
http,schdlxxx.co.za,/altcustomerCARD/altCustomerB/images/js.php,4,0,2,0,0,0,2,1,0.0,1,0,1
http,dietmoitangocsh.com,/_V263D43YZ9CARWW.xhtml.php,1,0,0,0,0,0,2,0,0.0,1,0,1
http,sizoflintsonline.co.za,/IbAbsanoJS/php/changelink.php,3,0,2,0,0,0,2,0,0.0,1,0,1
https,anmtdzxzujzb.de,/asb/index.htm,2,0,0,0,0,0,0,0,0.0,0,0,1
http,test.konsmetal.org.pl,/profiles/standard/translations/Natwest/07f375f18cdf761/login.php,6,0,1,0,0,0,1,0,0.0,1,0,1
http,test.konsmetal.org.pl,/profiles/standard/translations/Natwest/,4,0,2,0,0,0,2,0,0.0,1,0,1
http,www.iiporto.com,/libraries/joomla/html/language/en-GB/index.php,6,0,2,0,0,0,2,0,0.0,1,0,1
http,www.ourense.co.jp,/bnhjbjfv/index.php,2,0,2,1,0,0,1,0,0.0,1,0,1
https,platnosci.dhl-parcele.pl,/ipko/login.php,2,0,0,0,0,1,2,0,0.0,0,0,1
http,hoteleslapaloma.com,/2014/plugins/quickicon/eosnotify/image.php/,5,0,2,0,0,0,0,0,0.0,1,0,1
http,hoteleslapaloma.com,/2014/plugins/quickicon/eosnotify/image.php,5,0,2,0,0,0,0,0,0.0,1,0,1
http,djsft.com,/wp-admin/css/colors/blue/_loge.php,5,0,0,0,0,0,0,1,0.0,1,0,1
http,tinyurl.com,/y94m7z4r,1,0,0,0,0,0,0,1,0.0,1,0,1
http,kenbeer.ca,/mobile.pnc.com/pnc/,2,0,0,0,0,0,2,0,0.0,1,0,1
https,bargallo.com.mx,/bankofamerica/bankofamerica/bankofamerica/login.php,4,0,1,0,0,0,2,0,0.0,0,0,1
https,hariomestate.com,/ASB/baa3cf6ed5e34b5aaed451ab059f2b81/signin/,3,0,1,0,0,0,2,0,0.0,0,0,1
https,hariomestate.com,/ASB/index.php,2,0,0,0,0,0,0,0,0.0,0,0,1
https,www.grihum.com,/ASB/index.php,2,0,0,0,0,0,2,0,0.0,0,0,1
http,xn--80aehbifmf8acdejehti7p.xn--p1ai,/vvvddf/,1,0,0,0,0,1,0,0,0.0,1,0,1
http,www.sabatina.com,/lib/2.php,2,0,0,0,0,0,2,0,0.0,1,0,1
https,www.videosmile.it,/var/E/RBS/,3,0,0,0,0,0,0,0,0.0,0,0,1
http,geeflyco.com,//images_eco/images_eco/login.php/,3,0,0,0,1,0,0,0,0.0,1,0,1
http,elhosna.net,/.well-known/php/absajslogo.php,3,0,0,0,0,0,2,0,0.0,1,0,1
https,secure75.securewebsession.com,/trr20181006201147255.domtemporario.com.br/cartoes/,2,0,1,0,0,0,1,0,0.0,0,0,1
https,secure75.securewebsession.com,/trr20181006201147255.domtemporario.com.br/stats/01,3,0,1,0,0,0,1,0,0.0,0,0,1
http,djsft.com,/wp-admin/css/colors/ectoplasm/_loge.php,5,0,2,0,0,0,0,1,0.0,1,0,1
http,digitalemprestimo.com,,0,0,0,0,0,0,0,0,0.0,1,0,1
http,geeflyco.com,//images_eco/images_eco/login.php,3,0,0,0,1,0,0,0,0.0,1,0,1
http,www.inforserveis.es,/libraries/joomla/application/module/index.php,5,0,2,0,0,0,2,0,0.0,1,0,1
http,www.houseien.org,/wp-includes/SimplePie/Content/prices_example/generic.php,5,0,1,0,0,0,2,0,0.0,1,0,1
http,vmcp10.myhostcenter.com,/~nabilosu/,1,0,0,0,0,0,0,0,0.0,1,0,1
https,takseek.com,/public_html/ASB,2,0,0,0,0,0,0,0,0.0,0,0,1
http,premierempresarial.com,/atendimento-empresarial/5APGQA87J4.html,2,0,1,0,0,0,0,0,0.0,1,0,1
http,lian-eczemarelief.com,/miill/display/prelogon/preauth/authetication/logon/index.htm,7,0,1,0,0,1,0,0,0.0,1,0,1
http,investmentoutletrewardupgrade.co.za,/IbAbsanoJS/php/changelink.php,3,0,2,0,0,0,2,0,0.0,1,0,1
http,watedam.co,/fk/ipk2.php,2,0,0,0,0,0,0,0,0.0,1,0,1
http,hisenseza.co.za,/.well-known/pki-validation/_php,3,0,2,0,0,0,2,0,0.0,1,0,1
http,watedam.co,/fk/f2.php,2,0,0,0,0,0,0,0,0.0,1,0,1
http,ricecanteen.co.za,/altcustomerCARD/altCustomerB/images/js.php,4,0,2,0,0,0,2,0,0.0,1,0,1
http,tinyurl.com,/y88ndgqd,1,0,0,0,0,0,0,1,0.0,1,0,1
http,scotia-bankalert.com,/,0,0,0,0,0,1,0,1,0.0,1,0,1
https,drive.google.com,/file/d/1KEwqgHJ41mTslDymXqRPmIgrwlbEe_yq/view,4,0,1,0,0,0,0,0,0.0,0,0,1
https,drive.google.com,/open,1,0,2,0,0,0,0,0,0.0,0,0,1
http,reidv.000webhostapp.com,/,0,0,0,0,0,0,0,0,0.0,1,0,1
http,allianzdelivery.info,/index,1,0,0,0,0,0,0,0,0.0,1,0,1
http,toppaint.co.th,/js/mage/adminhtml/product/authentications/res/ref/,7,0,2,0,0,0,0,1,0.0,1,0,1
http,www.nordprivateonline.com,/ibank/login.php,2,0,0,0,0,0,2,0,0.0,1,0,1
https,payalenterprise.com,/js/mage/adminhtml/product/authentications/SSL/Login.php,7,0,1,0,0,0,0,0,0.0,0,0,1
http,web491760.cl523.4everdns.com,/js/calendar/authentications/res/ref/,5,0,2,0,0,0,2,0,0.0,1,0,1
https,payalenterprise.com,/js/mage/adminhtml/product/authentications/SSL/,6,0,2,0,0,0,0,0,0.0,0,0,1
https,www.getitunescodes.com,/,0,0,0,0,0,0,0,0,0.0,0,0,1
https,www.psnzone.com,,0,0,0,0,0,0,0,0,0.0,0,0,1
https,nam01.safelinks.protection.outlook.com,/,0,0,1,0,0,0,1,0,1.0,0,0,1
http,ecoachievers.in,/admin/ckfinder/absa.co.za.,3,0,0,0,0,0,1,0,0.0,1,0,1
http,geeflyco.com,//cnindex.files/_vti_cnf/image.php,3,0,0,0,1,0,2,0,0.0,1,0,1
http,buffalocity.docview.co.za,/login.aspx,1,0,0,0,0,0,1,0,0.0,1,0,1
http,buffalocity.docview.co.za,,0,0,0,0,0,0,2,0,0.0,1,0,1
https,thetecsolutions.com,/site-admin/img/blogImages/gqpmjvbrpmhbd/absaa/index.htm.,6,0,1,0,0,0,2,0,0.0,0,0,1
https,thetecsolutions.com,/site-admin/img/blogImages/gqpmjvbrpmhbd/absaa/index.htm,6,0,1,0,0,0,0,0,0.0,0,0,1
http,loanonlineapplication.co.za,/absa-online-personal-loan/,1,0,2,0,0,0,0,0,0.0,1,0,1
http,tyr.hu,/js/mage/adminhtml/product/authentications/res/ref/,7,0,2,0,0,0,0,0,0.0,1,0,1
http,mail.williamtweedy.com,/dailytrendsin5min/msbpr/absa-online/login.jsp,4,0,2,0,0,0,2,0,0.0,1,0,1
http,www.themarketingsite.com,/content/ABSA_Feat~1.jpg,2,0,2,0,0,0,2,0,0.0,1,0,1
http,trendmag.ro,/js/tiny_mce/plugins/advhr/servic/updat/index.php,7,0,2,0,0,0,0,0,0.0,1,0,1
http,kirche-muenstereifel.de,,0,0,0,0,0,1,0,0,0.0,1,0,1
https,universalmobile.in,/js/aaoptional/authenticatio/,3,0,2,0,0,0,0,0,0.0,0,0,1
https,absanotices.co.za,/Home/Auth,2,0,2,0,0,0,0,0,0.0,0,0,1
https,absanotices.co.za,/hm/200825e,2,0,0,0,0,0,0,0,0.0,0,0,1
http,www.esmaltadosilva.com.br,//old/images/login.php,3,0,2,0,1,0,1,0,0.0,1,0,1
https,truecaller.com,/search/za/+27659741603 ,3,0,2,0,0,0,0,0,0.0,0,0,1
https,enagickangenwellnesswater.com,/.well-known/RBS/,2,0,2,0,0,0,0,0,0.0,0,0,1
https,www.videosmile.it,/app/locale/na_west/discovers/,4,0,2,0,0,0,0,0,0.0,0,0,1
http,www.grandstoresksa.com,/1.php,1,0,0,0,0,0,2,0,0.0,1,0,1
http,ogoslon.com.ua,/FastNeTASB/rebound.html,2,0,0,0,0,0,2,0,0.0,1,0,1
http,online.dbssgltd.com,,0,0,0,0,0,0,0,0,0.0,1,0,1
http,dbssgltd.com,/includes/menu/themes/default/dbsg/index.html,6,0,2,0,0,0,0,0,0.0,1,0,1
http,zizaflintoffline.co.za,/altCustomerB/_php/oform2.html,3,0,2,0,0,0,2,0,0.0,1,0,1
https,www.videosmile.it,/var/package/errors/Secure/,4,0,0,0,0,0,0,0,0.0,0,0,1
http,around.cd.am,/Default/wp-includes/bankofamerica/e06d07c6/signOnV2Screen.php,5,0,1,0,0,0,2,0,0.0,1,0,1
https,asbwverification.com.au,/Auth/ASB/ASB,3,0,0,0,0,0,0,0,0.0,0,0,1
http,www.hc-editions.com,/wp-content/uploads/2016/03/_loge.php,5,0,2,0,0,1,2,0,0.0,1,0,1
http,www.vacationrentalbyhomeowner.com,/img/gwmpghndbfbnom/absaa/index.htm,4,0,2,0,0,0,2,0,0.0,1,0,1
http,artlapkin.ru,/0CETINFO/BE7647897XI/63466042350/EOY-CPSL,4,0,2,0,0,0,0,0,0.0,1,0,1
